Console output now writes to BlvsODTest.txt and can be found at /home/pi/Chromostat/BlvsODTest.txt

To change output to a file, press o
To return to this screen press h
To set gain value press g
To run color sensor press r or run
To run color sensor in manual mode press m
To reset file output, type reset
To view current settings, press v or view
To reset all settings, type resetAll
To set remove all unwanted lines from file, press c
To toggle light press l
To compete strains, type compete
To set integration time type int
To change time inbetween measurements, type interval


Current settings are the following:

Currently saving output to: /home/pi/Chromostat/BlvsODTest.txt
Gain value is: 0
Integration Time is 1000.0 m/s
Time between measurements is 60000 m/s

To change output to a file, press o
To return to this screen press h
To set gain value press g
To run color sensor press r or run
To run color sensor in manual mode press m
To reset file output, type reset
To view current settings, press v or view
To reset all settings, type resetAll
To set remove all unwanted lines from file, press c
To toggle light press l
To compete strains, type compete
To set integration time type int
To change time inbetween measurements, type interval


Mode  Time  Red  Green  Blue
T     324     1389   1889   2057
T     325     1367   1866   2040
T     326     1412   1912   2084
T     327     1389   1886   2063
T     328     1369   1867   2045
T     329     1348   1846   2022
T     330     1392   1889   2066
T     331     1392   1889   2066
T     332     1405   1902   2077
T     333     1391   1889   2065
T     334     1393   1891   2064
T     335     1419   1919   2092
T     336     1434   1934   2100
T     337     1393   1888   2065
T     338     1392   1888   2065
T     339     1396   1893   2069
T     340     1406   1904   2079
T     341     1385   1881   2059
T     342     1349   1846   2024
T     343     1344   1841   2018
T     344     1408   1905   2079
T     345     1407   1905   2077
T     346     1415   1914   2085
T     347     1342   1839   2017
T     348     1396   1894   2068
T     349     1393   1891   2068
T     350     1394   1891   2067
T     351     1383   1882   2054
T     352     1368   1867   2040
T     353     1391   1887   2065
T     354     1384   1880   2058
T     355     1400   1896   2072
T     356     1354   1853   2029
T     357     1360   1856   2033
T     358     1396   1893   2068
T     359     1401   1898   2073
T     360     1376   1873   2050
T     361     1342   1840   2065
T     362     1399   1895   2071
T     363     1394   1890   2067
T     364     1408   1906   2079
T     365     1384   1879   2057
T     366     1397   1895   2070
T     367     1427   1928   2097
T     368     1390   1886   2063
T     369     1389   1886   2060
T     370     1391   1888   2064
T     371     1385   1881   2058
T     372     1399   1899   2072
T     373     1364   1862   2036
