Console output now writes to ColorDTest.txt and can be found at /home/pi/Chromostat/ColorDTest.txt

To change output to a file, press o
To return to this screen press h
To set gain value press g
To run color sensor press r
To run color sensor in manual mode press m
To reset file output, type reset
To view current settings, press v
To reset all settings, type resetAll
To set remove all unwanted lines from file, press c
To toggle light press l
To compete strains, type compete


Mode  Time  Red  Green  Blue
T     348     93   1545   1359
T     349     92   1544   1359
T     350     98   1553   1368
T     351     93   1547   1357
T     352     100   1553   1371
T     353     92   1545   1357
T     354     95   1547   1362
T     355     93   1544   1356
T     356     98   1552   1369
T     357     47   1479   1355
T     358     48   1479   1357
T     359     48   1480   1356
T     360     47   1478   1355
T     361     48   1480   1357
T     362     48   1479   1356
T     363     48   1480   1356
T     364     48   1479   1356
T     365     52   1485   1364
T     366     47   1479   1357
T     367     47   1478   1357
T     368     48   1479   1357
T     369     54   1488   1370
T     370     48   1480   1358
T     371     48   1480   1359
T     372     48   1479   1358
T     373     55   1488   1372
T     374     48   1479   1358
T     375     53   1485   1368
T     376     48   1479   1358
T     377     56   1488   1372
T     378     47   1478   1358
T     379     52   1484   1367
T     380     48   1480   1359
T     381     48   1479   1358
T     382     47   1477   1358
T     383     53   1486   1369
T     384     48   1479   1360
T     385     47   1478   1359
T     386     48   1479   1358
T     387     47   1479   1358
T     388     47   1478   1357
T     389     50   1481   1361
T     390     48   1478   1358
T     391     48   1478   1359
T     392     47   1478   1357
T     393     51   1482   1366
T     394     48   1478   1358
T     395     47   1477   1358
T     396     48   1478   1359
T     397     48   1479   1359
T     398     48   1478   1359
T     399     49   1480   1361
T     400     48   1478   1358
T     401     48   1478   1358
T     402     47   1477   1358
T     403     48   1477   1358
T     404     48   1478   1359
T     405     48   1478   1358
T     406     48   1477   1358
T     407     47   1478   1358
T     408     48   1478   1358
T     409     47   1477   1357
T     410     48   1478   1358
T     411     50   1480   1361
T     412     48   1477   1357
T     413     48   1478   1357
T     414     49   1479   1359
T     415     48   1478   1358
T     416     48   1477   1358
T     417     48   1479   1358
T     418     48   1476   1357
T     419     48   1478   1358
T     420     48   1478   1358
T     421     47   1477   1357
T     422     218   1689   1676
T     423     51   1482   1366
T     424     48   1479   1358
T     425     49   1479   1361
T     426     49   1479   1358
T     427     40   1494   1375
T     428     48   1477   1358
T     429     55   1486   1371
T     430     48   1478   1359
T     431     50   1481   1364
T     432     48   1477   1357
T     433     56   1486   1371
T     434     47   1477   1357
T     435     53   1484   1365
T     436     48   1479   1358
T     437     48   1478   1358
T     438     48   1477   1358
T     439     56   1486   1372
T     440     49   1479   1358
T     441     52   1483   1365
T     442     48   1477   1357
T     443     47   1476   1358
T     444     49   1477   1358
T     445     56   1486   1372
T     446     48   1478   1358
T     447     51   1482   1364
T     448     48   1478   1357
T     449     48   1478   1358
T     450     48   1477   1358
T     451     54   1485   1369
T     452     48   1476   1357
T     453     49   1478   1360
T     454     48   1477   1357
T     455     48   1477   1358
T     456     48   1478   1358
T     457     54   1484   1369
T     458     48   1478   1358
T     459     50   1479   1360
T     460     49   1478   1358
T     461     48   1477   1357
T     462     48   1477   1358
T     463     55   1486   1369
T     464     48   1476   1358
T     465     49   1479   1361
T     466     48   1475   1358
T     467     56   1487   1372
T     468     48   1477   1358
T     469     52   1482   1366
T     470     48   1478   1358
T     471     48   1477   1357
T     472     48   1478   1357
T     473     55   1486   1371
T     474     48   1477   1357
T     475     51   1481   1361
T     476     48   1477   1357
T     477     48   1477   1356
T     478     48   1477   1356
T     479     50   1479   1359
T     480     48   1476   1356
T     481     48   1478   1356
T     482     47   1476   1355
T     483     48   1477   1355
T     484     47   1476   1354
T     485     47   1476   1355
T     486     48   1477   1356
T     487     47   1476   1355
T     488     49   1478   1359
T     489     48   1477   1356
T     490     48   1477   1355
T     491     48   1477   1356
T     492     51   1480   1361
T     493     48   1477   1356
T     494     48   1476   1355
T     495     47   1476   1355
T     496     48   1477   1356
T     497     49   1479   1358
T     498     47   1475   1354
T     499     56   1487   1370
T     500     47   1476   1355
T     501     50   1479   1360
T     502     47   1477   1355
T     503     54   1484   1368
T     504     47   1475   1354
T     505     53   1482   1364
T     506     47   1475   1355
T     507     54   1485   1369
T     508     47   1476   1355
